Company,Sector,ESG Topic,Extracted Claim,Sentiment Score,Specificity Score,Greenwashing Risk Score,Doc,Page
LSE_PAG_2024_business_esg,Unknown,Biodiversity & Land Use,"Home Introduction About Paragon Environment Society Governance P12
Our key sustainability topics
Engaged with colleagues,
During 2024 we conducted a materiality
customers and external
assessment to identify and prioritise
stakeholders including
the sustainability topics that are material
trade bodies, analysts
to our business and a priority for our
and investors
stakeholders. These issues have the
potential to influence our business Benchmarked immediate
performance and highlight where we and ‘best-in-class’ peers
can make the biggest difference.
Analysed 20+
This exercise, supported by an sus",0.269,0.35,0.645,LSE_PAG_2024_business_esg.pdf,12
LSE_PAG_2024_business_esg,Unknown,Business Ethics & Compliance,"Home Introduction About Paragon Environment Society Governance P47
Climate change scenario analysis Directors’ remuneration policy will be Employee Code of Conduct
undertaken and the structure of the
Our climate change scenario analysis long-term incentive plan will form part We refreshed ‘Doing the right things: Our
was split into two elements. First, we of the discussions with stakeholders Code of Conduct’ again in 2024, with 100%
performed a qualitative review of our to ensure the conditions and targets of employees confirming they had read
climate change risk and opportunities remain stret",0.007,0.53,0.545,LSE_PAG_2024_business_esg.pdf,47
LSE_PAG_2024_business_esg,Unknown,Data Security & Privacy,"Home Introduction About Paragon Environment Society Governance P48
Financial crime Supplier relationships Health and safety
We make protecting our business and We are committed to the fair treatment The health and safety of our employees
our customers against financial crime, of all suppliers, who are essential to is important. We are compliant with
including bribery and corruption, a keeping our business running and all applicable legal requirements and
priority. To make sure Paragon isn’t ensuring we meet the needs of our maintain a Health and Safety Risk Policy
used to facilitate financial ",0.0,0.53,0.565,LSE_PAG_2024_business_esg.pdf,48
LSE_PAG_2024_business_esg,Unknown,"Diversity, Equity & Inclusion","Home Introduction About Paragon Environment Society Governance P40
Employee wellbeing
The wellbeing of our employees is one
of our main priorities at Paragon. We
care about all our people and we want
to support their physical, emotional,
financial and social wellbeing. We all need
extra support from time to time and
people should never be afraid to reach
out and ask for help.
That’s why we have a group of employees
who form our Wellbeing team. They are
all trained Mental Health First Aiders
who volunteer their time to promote a
proactive culture of wellbeing at Paragon
and support their fellow",0.998,0.75,0.637,LSE_PAG_2024_business_esg.pdf,40
LSE_PAG_2024_business_esg,Unknown,"Diversity, Equity & Inclusion","Home Introduction About Paragon Environment Society Governance P39
Gender pay gap
Our EDI Network
Our 2024 gender pay measures were
similar to those for 2023 and remain
Our EDI Network was launched in
larger than we’d like them to be. As
2020, to change perceptions and
evidenced by the gender split amongst
break down barriers by raising
our pay quartiles, this is predominately
awareness and understanding of
due to the seniority and nature of roles
equality, diversity and inclusion
that men and women are undertaking in
in the workplace. In 2024, the
the organisation. Employees in our lower
netw",0.998,0.65,0.622,LSE_PAG_2024_business_esg.pdf,39
LSE_PAG_2024_business_esg,Unknown,"Diversity, Equity & Inclusion","Home Introduction About Paragon Environment Society Governance P33
This year we utilised the 24/7 Samaritans reviewed key journeys for our secured
Awareness Day to refresh our employees’ 0.46 lending and second charge mortgage
complaints per
skills around active listening. In further customers. In doing so, we developed
1,000 accounts
support of customers’ wellbeing, we a deeper understanding of these
also signpost to Cruse, Relay UK, Money customers’ needs and have since
Helper, Citizens Advice and StepChange updated our communications materials
when they need to access specialist or We compa",0.881,0.63,0.65,LSE_PAG_2024_business_esg.pdf,33
LSE_PAG_2024_business_esg,Unknown,"Diversity, Equity & Inclusion","Home Introduction About Paragon Environment Society Governance P38
Ongoing development support We all have different experiences and it’s been quite humbling to learn
from the other Ignite delegates from different areas of the business.
We help our people – regardless of
Each session is designed to strengthen our skillsets, based around
the stage they’re at in their career
various challenges we might encounter as we go through our careers.
journey – to realise their full capabilities
We’ve been able to undertake various activities such
by offering a range of structured
as Insights, 360 Feedbac",0.993,0.53,0.713,LSE_PAG_2024_business_esg.pdf,38
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P21
Environment
FINANCING A
GREENER WORLD
53.4%
of new mortgage lending
was to EPC A-C properties
supported by our range of
mortgage products
£300m
of finance allocated to
property developers through
our Green Homes Initiative
£17m
new lending on electric and
Our most material emissions are
plug-in hybrid vehicles during
generated from our customers’ assets
the year and activities – these are called financed
emissions. Although we lack direct
control over reducing these emissions, we
understand that we have an opportunity
to drive ",0.731,0.97,0.363,LSE_PAG_2024_business_esg.pdf,21
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P16
Environment
REDUCING OUR
OWN EMISSIONS
48%
reduction in market-based
emissions compared to
2019 baseline
95%
of electricity from
renewable sources
70%
of waste diverted from landfill
We want to make a positive contribution
to the challenge of climate change and
one of the main areas of focus is reducing
the environmental impact of our
everyday operations. We’re committed to
reducing the greenhouse gas emissions
of our operational footprint to net zero
by 2030.
The nature of our business means
the overall impact of our operation",0.881,0.94,0.441,LSE_PAG_2024_business_esg.pdf,16
LSE_PAG_2024_business_esg,Unknown,GHG Emissions,"Home Introduction About Paragon Environment Society Governance P14
Our environmental strategy
Our commitment Achieving net zero by 2050 across all greenhouse gas emissions
in support of
the UK’s drive to
achieve net zero
Pathways driven Reduce our operational emissions to Reduce our mortgage portfolio Continue to develop our approach to
a residual level aligned with a sector emissions by 35% by 2030 from a emission reductions associated with
by climate change
neutral 1.5 degree pathway by 2030 2022 baseline, aligned to the Climate commercial lending
scenarios Change Committee’s pathway
How we’",0.999,0.9,0.575,LSE_PAG_2024_business_esg.pdf,14
